filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
signal_molecule_818_(sequence_0)_a23e5ce0-6d65-4f75-9ec8-adce034f9f71.fast5	a23e5ce0-6d65-4f75-9ec8-adce034f9f71	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.258250	206	FALSE	6339.999500	206	0.258250	122	5.993360	0.000000	96.212814	8.852915	95.798157	10.804286
signal_molecule_1133_(sequence_1)_c9722f3d-4002-4f3a-8d37-255ee84ec706.fast5	c9722f3d-4002-4f3a-8d37-255ee84ec706	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.251250	201	FALSE	6339.999500	201	0.251250	110	5.480735	0.000000	94.208382	9.855132	94.011215	11.140762
signal_molecule_1971_(sequence_1)_5a7448b1-10fe-4cd4-b201-6666dd370fcc.fast5	5a7448b1-10fe-4cd4-b201-6666dd370fcc	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.249250	199	FALSE	6339.999500	199	0.249250	118	6.100419	0.000000	93.540230	9.688096	91.923218	10.957931
signal_molecule_209_(sequence_0)_5ef69715-31c2-460f-90f6-0d2212babdcf.fast5	5ef69715-31c2-460f-90f6-0d2212babdcf	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.272500	218	FALSE	6339.999500	218	0.272500	112	4.727291	0.000000	95.210594	8.685879	94.208672	11.181927
signal_molecule_2534_(sequence_2)_6cf77009-0d16-4a70-bf1f-98f83ac8adcb.fast5	6cf77009-0d16-4a70-bf1f-98f83ac8adcb	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.277250	221	TRUE	6339.999500	221	0.277250	119	8.380369	0.000000	95.544670	8.852915	94.479034	11.560225
signal_molecule_435_(sequence_0)_27d934c6-b760-4bbd-b0ac-1ab8bd4df928.fast5	27d934c6-b760-4bbd-b0ac-1ab8bd4df928	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.249000	199	FALSE	6339.999500	199	0.249000	119	5.362896	0.000000	96.045776	8.351807	93.811943	11.529898
signal_molecule_1127_(sequence_1)_347b44e1-81b2-42d0-b65c-241792a0956b.fast5	347b44e1-81b2-42d0-b65c-241792a0956b	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.262000	209	FALSE	6339.999500	209	0.262000	121	6.376664	0.000000	94.709488	9.688096	92.735985	11.375959
signal_molecule_2853_(sequence_2)_8d38e6eb-a520-4ef7-95f5-52230415953c.fast5	8d38e6eb-a520-4ef7-95f5-52230415953c	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.267000	213	FALSE	6339.999500	213	0.267000	121	6.909120	0.000000	95.878738	8.184771	93.766327	11.159893
signal_molecule_1049_(sequence_1)_e735ed5b-2e98-48f8-b83d-de77c5c45253.fast5	e735ed5b-2e98-48f8-b83d-de77c5c45253	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.250750	200	FALSE	6339.999500	200	0.250750	121	5.381788	0.000000	94.041344	9.855132	93.830467	11.131501
signal_molecule_1459_(sequence_1)_14c117c8-ec42-4148-93d2-c5e6868f5777.fast5	14c117c8-ec42-4148-93d2-c5e6868f5777	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.254750	203	FALSE	6339.999500	203	0.254750	111	5.128102	0.000000	95.544670	10.690312	94.713463	10.961155
signal_molecule_825_(sequence_0)_043132ef-bc49-43e8-bf5b-10779d5e6630.fast5	043132ef-bc49-43e8-bf5b-10779d5e6630	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.264000	211	FALSE	6339.999500	211	0.264000	118	6.000432	0.000000	95.043556	9.019951	96.190987	10.877405
signal_molecule_823_(sequence_0)_555488eb-fe38-4836-ab09-fa98f5797337.fast5	555488eb-fe38-4836-ab09-fa98f5797337	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.244500	195	FALSE	6339.999500	195	0.244500	124	4.835006	0.000000	96.379845	8.518843	95.886269	11.386022
signal_molecule_2860_(sequence_2)_ec2934fe-f7f0-4d77-ba18-c2b23f286323.fast5	ec2934fe-f7f0-4d77-ba18-c2b23f286323	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.254000	203	FALSE	6339.999500	203	0.254000	118	5.247669	0.000000	94.709488	8.184771	92.661194	11.564349
signal_molecule_1766_(sequence_1)_f3a34a6e-a797-4cdf-9c63-4ec149c29ae0.fast5	f3a34a6e-a797-4cdf-9c63-4ec149c29ae0	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.264250	211	FALSE	6339.999500	211	0.264250	117	6.102932	0.000000	92.036911	9.354023	91.143044	10.650883
signal_molecule_1369_(sequence_1)_c4e26397-c0d4-4239-aeaa-ed031815c7bf.fast5	c4e26397-c0d4-4239-aeaa-ed031815c7bf	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.259500	207	FALSE	6339.999500	207	0.259500	119	5.522984	0.000000	93.373199	10.022168	92.987755	11.019632
signal_molecule_691_(sequence_0)_1d90eb76-1aee-49f1-8c3c-f7c95f9b42c9.fast5	1d90eb76-1aee-49f1-8c3c-f7c95f9b42c9	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.259250	207	FALSE	6339.999500	207	0.259250	123	5.864335	0.000000	95.711700	8.685879	95.064888	11.329451
signal_molecule_2345_(sequence_2)_7ab1b08b-784c-4e10-af1e-74f1c27bf2b0.fast5	7ab1b08b-784c-4e10-af1e-74f1c27bf2b0	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.256500	205	FALSE	6340.068250	150	0.187750	88	6.789206	0.000000	95.377632	7.683662	94.096024	11.149356
signal_molecule_1659_(sequence_1)_023f4b9a-6a10-47f4-b138-c3081e2a8a77.fast5	023f4b9a-6a10-47f4-b138-c3081e2a8a77	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.241000	192	FALSE	6339.999500	192	0.241000	112	5.039554	0.000000	93.039124	9.354023	90.870438	10.996749
signal_molecule_314_(sequence_0)_d7ace4d7-a5e7-4326-9416-663c721ee1e7.fast5	d7ace4d7-a5e7-4326-9416-663c721ee1e7	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.236000	188	FALSE	6339.999500	188	0.236000	113	5.284303	0.000000	95.043556	9.354023	94.760391	11.791021
signal_molecule_1610_(sequence_1)_723b5041-523e-4407-85f4-ef6c03e676b2.fast5	723b5041-523e-4407-85f4-ef6c03e676b2	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.247750	198	FALSE	6339.999500	198	0.247750	122	5.672111	0.000000	94.041344	9.855132	91.716522	10.859350
signal_molecule_2229_(sequence_2)_a5c2df27-f7bd-46ab-b3ac-32d69c4bf59c.fast5	a5c2df27-f7bd-46ab-b3ac-32d69c4bf59c	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.253750	203	TRUE	6339.999500	203	0.253750	120	7.425820	0.000000	95.377632	8.184771	93.236397	11.195013
signal_molecule_2567_(sequence_2)_038101c3-cbd9-4a50-8661-caa1e805260b.fast5	038101c3-cbd9-4a50-8661-caa1e805260b	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.255500	204	FALSE	6339.999500	204	0.255500	127	5.686219	0.000000	96.546883	8.685879	94.467506	11.085238
signal_molecule_270_(sequence_0)_d7d5e2e8-616f-4fef-8588-62d7932001e7.fast5	d7d5e2e8-616f-4fef-8588-62d7932001e7	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.246750	197	FALSE	6340.067000	143	0.179250	78	5.250993	0.000000	96.546883	7.182554	94.720055	11.319944
signal_molecule_1263_(sequence_1)_bc20339d-8849-40bf-822d-a05e05ff1b99.fast5	bc20339d-8849-40bf-822d-a05e05ff1b99	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.278750	223	FALSE	6339.999500	223	0.278750	118	6.426419	0.000000	91.702835	10.022168	92.829994	10.930559
signal_molecule_2641_(sequence_2)_5c57b208-1934-4ff6-b595-f15e4c9f742e.fast5	5c57b208-1934-4ff6-b595-f15e4c9f742e	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.249000	199	FALSE	6339.999500	199	0.249000	127	6.600703	0.000000	95.210594	8.685879	92.581650	11.038557
signal_molecule_2184_(sequence_2)_7f649bb7-1c13-498c-bb39-0b2b1c220164.fast5	7f649bb7-1c13-498c-bb39-0b2b1c220164	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.255750	204	TRUE	6339.999500	204	0.255750	109	7.363827	0.000000	97.215027	7.683662	93.784927	10.838311
signal_molecule_408_(sequence_0)_0fffeb98-3bb7-413b-81c3-5ebc3ba09ee2.fast5	0fffeb98-3bb7-413b-81c3-5ebc3ba09ee2	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.243000	194	FALSE	6339.999500	194	0.243000	104	6.225154	0.000000	97.215027	9.019951	94.068436	11.311414
signal_molecule_892_(sequence_0)_dac6ee90-6c76-49da-b22b-fd8a6c431e46.fast5	dac6ee90-6c76-49da-b22b-fd8a6c431e46	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.269250	215	FALSE	6340.054500	171	0.214250	88	6.810218	0.000000	97.047989	8.351807	94.964401	10.870398
signal_molecule_344_(sequence_0)_64637a5d-9248-4683-90ae-776d1664f312.fast5	64637a5d-9248-4683-90ae-776d1664f312	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.240000	192	FALSE	6339.999500	192	0.240000	121	5.105422	0.000000	95.878738	8.184771	94.270638	11.758274
signal_molecule_1980_(sequence_1)_329eb2d9-c099-4165-96b4-6e0c17f8878b.fast5	329eb2d9-c099-4165-96b4-6e0c17f8878b	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.286500	229	TRUE	6339.999500	229	0.286500	120	7.005353	0.000000	93.707268	10.189204	91.107330	11.216058
signal_molecule_2302_(sequence_2)_d7bcccd6-049b-43f8-859f-4f1c83aaddbb.fast5	d7bcccd6-049b-43f8-859f-4f1c83aaddbb	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.265000	212	TRUE	6339.999500	212	0.265000	124	7.112015	0.000000	95.711700	9.019951	94.712555	11.056822
signal_molecule_244_(sequence_0)_583282b3-4b2c-4f81-ae11-07709e96b264.fast5	583282b3-4b2c-4f81-ae11-07709e96b264	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.267750	214	FALSE	6339.999500	214	0.267750	125	6.180149	0.000000	96.045776	9.521059	96.031410	10.904532
signal_molecule_2382_(sequence_2)_ea6399cf-ef59-4a1f-8422-9d04d2703f7d.fast5	ea6399cf-ef59-4a1f-8422-9d04d2703f7d	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.243250	194	FALSE	6339.999500	194	0.243250	122	6.921820	0.000000	95.544670	8.184771	92.983986	11.060284
signal_molecule_868_(sequence_0)_c5e7ff5e-db54-4db3-bbf4-e55b52c170b8.fast5	c5e7ff5e-db54-4db3-bbf4-e55b52c170b8	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.260750	208	FALSE	6339.999500	208	0.260750	124	4.632317	0.000000	96.379845	7.850698	95.098167	11.282207
signal_molecule_588_(sequence_0)_c125ca09-5f89-491c-a4c2-f79236d16446.fast5	c125ca09-5f89-491c-a4c2-f79236d16446	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.275750	220	FALSE	6339.999500	220	0.275750	113	6.059613	0.000000	95.544670	9.521059	95.508896	11.499326
signal_molecule_253_(sequence_0)_b6e6fcf8-181a-4396-807e-4285ab818da0.fast5	b6e6fcf8-181a-4396-807e-4285ab818da0	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.272250	217	TRUE	6339.999500	217	0.272250	114	7.202614	0.000000	94.041344	8.852915	94.423912	11.056885
signal_molecule_1107_(sequence_1)_a1c22494-3862-47ff-952d-3edbbc75308b.fast5	a1c22494-3862-47ff-952d-3edbbc75308b	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.261500	209	FALSE	6339.999500	209	0.261500	127	4.969321	0.000000	93.373199	9.688096	92.690094	11.556637
signal_molecule_451_(sequence_0)_d671e0ab-b567-4e52-b682-6d66ab4cae06.fast5	d671e0ab-b567-4e52-b682-6d66ab4cae06	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.272500	218	FALSE	6340.137000	108	0.135000	54	5.938208	0.000000	96.546883	6.514409	94.032516	10.958644
signal_molecule_294_(sequence_0)_d556e8a3-b3f5-434b-a355-327cf1d76f4a.fast5	d556e8a3-b3f5-434b-a355-327cf1d76f4a	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.259500	207	FALSE	6340.055750	162	0.203250	94	6.350433	0.000000	95.544670	8.852915	95.362267	11.348085
signal_molecule_2341_(sequence_2)_912a9214-e6b1-41ab-9f61-59b305f8040a.fast5	912a9214-e6b1-41ab-9f61-59b305f8040a	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.268250	214	FALSE	6339.999500	214	0.268250	117	6.177734	0.000000	94.208382	8.852915	94.962769	10.954494
signal_molecule_1799_(sequence_1)_7fade89e-ca2f-45ad-9458-869b5bb72a59.fast5	7fade89e-ca2f-45ad-9458-869b5bb72a59	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.264500	211	FALSE	6339.999500	211	0.264500	123	6.450657	0.000000	93.206161	9.855132	92.345459	10.992820
signal_molecule_2118_(sequence_2)_9fd4b741-f83b-47b8-a375-6785c932ca90.fast5	9fd4b741-f83b-47b8-a375-6785c932ca90	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.260250	208	TRUE	6339.999500	208	0.260250	122	8.063465	0.000000	95.377632	8.351807	94.604996	10.974314
